url,title,source_page
https://hus.vnu.edu.vn/DATA/IMAGES/2024/01/805.-moi-truong-suc-khoe-va-an-toan-final-qd-3533.pdf,805.-moi-truong-suc-khoe-va-an-toan-final-qd-3533.pdf,
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/211.-ths-vat-ly-qd-4942.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/sau-dai-hoc/vat-ly-va-cong-nghe
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/221.-ts-vat-ly-ly-thuyet-va-vlt-qd-4943.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/sau-dai-hoc/vat-ly-va-cong-nghe
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/222.-ts-vat-ly-chat-ran-qd-4944.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/sau-dai-hoc/vat-ly-va-cong-nghe
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/224.-ts-vat-ly-nguyen-tu-va-hat-nhan-qd-4946.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/sau-dai-hoc/vat-ly-va-cong-nghe
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/225.-ts-quang-hoc-qd-4947.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/sau-dai-hoc/vat-ly-va-cong-nghe
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/226.-ts-vat-ly-dia-cau-qd-4948.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/sau-dai-hoc/vat-ly-va-cong-nghe
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/227.-ts-vat-ly-nhiet-qd-4949.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/sau-dai-hoc/vat-ly-va-cong-nghe
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/301-hoa-hoc---chuan-k67-qd-3534-scan.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/hoa-hoc
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/301-hoa-hoc---chuan-k68-qd-3535-scan.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/hoa-hoc
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/302-hoa-hoc-tien-tien-k67-qd3536-scan.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/hoa-hoc
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/303-hoa-hoc---tai-nang-k67-68-qd3537-scan.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/hoa-hoc
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/304-cong-nghe-ky-thuat-hoa-hoc-clc-k67-qd3538-scan.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/hoa-hoc
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/304-cong-nghe-ky-thuat-hoa-hoc-k68-qd3539-scan.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/hoa-hoc
https://hus.vnu.edu.vn/DATA/IMAGES/2024/06/305-hoa-duoc-chat-luong-cao-k67-qd-3540-scan.pdf,📄 Xem nội dung PDF,https://hus.vnu.edu.vn/dao-tao/bac-dai-hoc/hoa-hoc
